Actual Price,Predicted Price
12000000,34870000
48000000,65108500
15000000,17881000
42000000,41046500
120000000,94780000
83000000,86604166
37000000,42870000
35000000,35108333
58000000,65645000
62000000,59470000
29000000,26246666
8800000,25031333
84000000,75850000
78000000,132198333
75000000,74350000
7300000,9549000
3700000,13687666
17000000,21050000
36000000,58547500
46000000,74700000
31000000,35031500
83000000,83297500
17000000,20507666
60000000,58883333
65000000,73474166
58000000,54600000
170000000,104674000
27000000,25353214
68000000,55380000
38000000,43190000
37000000,31200000
130000000,126681309
29000000,37433333
28000000,30427500
74000000,65471666
95000000,98026666
130000000,123400000
110000000,96938000
23000000,20206000
220000000,232538333
110000000,112976250
45000000,37256666
160000000,101620932
25000000,32110714
45000000,68202000
22000000,22740000
28000000,37545000
33000000,35030000
50000000,48150000
17000000,21893000
33000000,43340000
27000000,31738000
18000000,23441600
34000000,77543333
120000000,136477142
85000000,79005595
13000000,11722000
42000000,45470000
35000000,31201857
160000000,118819166
70000000,67745000
26000000,29031666
80000000,90585714
24000000,26178690
100000000,104680000
38000000,34602000
180000000,116540000
28000000,24881666
59000000,56610666
9000000,22091666
59000000,47478333
94000000,93361666
38000000,28678666
53000000,53120000
46000000,49795000
29000000,56630000
8000000,25626166
24000000,26940000
100000000,84797500
78000000,75067333
74000000,66680000
76000000,48837500
21000000,34616666
110000000,92000000
10000000,14478666
190000000,155300000
120000000,66940000
25000000,31640000
17000000,23123166
35000000,30550000
67000000,54495000
10000000,44068000
67000000,68736000
21000000,25930000
65000000,84122500
60000000,48620500
32000000,53100000
12000000,16580000
80000000,69880000
55000000,60965000
44000000,41310000
110000000,110195000
120000000,56733333
5800000,6670400
38000000,38400000
68000000,60420000
130000000,135365238
45000000,53426666
96000000,99210000
31000000,33040000
21000000,21310000
25000000,25696000
53000000,70850000
63000000,79173333
85000000,87580000
37000000,42320000
72000000,87010000
42000000,47520000
26000000,34953333
30000000,30099333
46000000,40810000
55000000,50480000
110000000,107880000
220000000,213310000
70000000,70840000
31000000,53870000
20000000,29396000
31000000,29530000
74000000,83390000
60000000,43100000
13000000,22029000
63000000,104480000
11000000,12580000
78000000,72594166
34000000,48822000
28000000,29994166
9000000,30290000
37000000,37220000
80000000,61991333
64000000,66170000
43000000,46010000
51000000,50039000
46000000,49344666
25000000,30982500
120000000,79200000
26000000,29276666
26000000,21705000
100000000,74695000
54000000,57400000
120000000,167623333
130000000,122848333
57000000,39260000
15000000,13295000
24000000,26836000
130000000,108906666
80000000,85890000
27000000,25782500
40000000,43360000
96000000,107055000
51000000,52580000
42000000,47423000
65000000,58940000
34000000,28970000
18000000,18752000
58000000,55950000
30000000,31548000
26000000,28930261
80000000,89990000
50000000,64940000
54000000,52200000
35000000,47174166
67000000,76878000
77000000,64100000
160000000,113020000
38000000,35110000
